Approved symbol	Locus group	Ensembl gene ID
FAM226A	non-coding RNA	
FAM226B	non-coding RNA	ENSG00000269911
FAM227A	protein-coding gene	ENSG00000184949
FAM227B	protein-coding gene	ENSG00000166262
FAM228A	protein-coding gene	ENSG00000186453
FAM228B	protein-coding gene	ENSG00000219626
FAM229A	protein-coding gene	ENSG00000225828
FAM229B	protein-coding gene	ENSG00000203778
FAM230A	non-coding RNA	ENSG00000277870
FAM230B	non-coding RNA	ENSG00000215498
FAM230C	non-coding RNA	ENSG00000279516
FAM230D	non-coding RNA	ENSG00000187979
FAM230E	non-coding RNA	ENSG00000182824
FAM230F	non-coding RNA	ENSG00000276095
FAM230G	non-coding RNA	ENSG00000188280
FAM230H	non-coding RNA	ENSG00000206142
FAM230I	non-coding RNA	ENSG00000178248
FAM230J	non-coding RNA	ENSG00000274044
FAM234A	protein-coding gene	ENSG00000167930
FAM234B	protein-coding gene	ENSG00000084444
FAM236A	protein-coding gene	ENSG00000275520
FAM236B	protein-coding gene	ENSG00000268994
FAM236C	protein-coding gene	ENSG00000283594
FAM236D	protein-coding gene	ENSG00000225396
FAM237A	protein-coding gene	ENSG00000235118
FAM237B	protein-coding gene	ENSG00000283267
FAM238A	non-coding RNA	ENSG00000233261
FAM238B	non-coding RNA	ENSG00000231976
FAM238C	non-coding RNA	ENSG00000283709
FAM239A	non-coding RNA	ENSG00000234449
FAM239B	non-coding RNA	ENSG00000205663
FAM239C	non-coding RNA	ENSG00000205662
FAM240A	protein-coding gene	ENSG00000283473
FAM240B	protein-coding gene	ENSG00000283329
FAM240C	protein-coding gene	ENSG00000216921
FAM241A	protein-coding gene	ENSG00000174749
FAM241B	protein-coding gene	ENSG00000171224
FAM242A	non-coding RNA	ENSG00000231934
FAM242B	non-coding RNA	ENSG00000287889
FAM242C	non-coding RNA	ENSG00000250432
FAM242D	non-coding RNA	ENSG00000231248
FAM242E	non-coding RNA	ENSG00000229697
FAM242F	non-coding RNA	ENSG00000275239
FAM243A	protein-coding gene	ENSG00000222018
FAM243B	protein-coding gene	ENSG00000277277
FAM245A	non-coding RNA	ENSG00000228055
FAM245B	non-coding RNA	ENSG00000285662
FAM246A	protein-coding gene	ENSG00000286102
FAM246B	protein-coding gene	ENSG00000286175
FAM246C	protein-coding gene	ENSG00000286025
FAM247A	non-coding RNA	ENSG00000283972
FAM247B	non-coding RNA	ENSG00000278044
FAM247C	non-coding RNA	
FAM247D	non-coding RNA	
FAM24A	protein-coding gene	ENSG00000203795
FAM24B	protein-coding gene	ENSG00000213185
FAM25A	protein-coding gene	ENSG00000188100
FAM25BP	pseudogene	ENSG00000273225
FAM25C	protein-coding gene	ENSG00000276430
FAM25E	other	ENSG00000231122
FAM25G	protein-coding gene	ENSG00000189090
FAM27B	non-coding RNA	ENSG00000278763
FAM27C	non-coding RNA	ENSG00000231527
FAM27D1	non-coding RNA	
FAM27E2	non-coding RNA	
FAM27E3	non-coding RNA	ENSG00000274026
FAM27E4	non-coding RNA	
FAM27E5	non-coding RNA	ENSG00000178130
FAM30A	non-coding RNA	ENSG00000226777
FAM30B	non-coding RNA	ENSG00000277988
FAM30C	non-coding RNA	ENSG00000259698
FAM32A	protein-coding gene	ENSG00000105058
FAM32BP	pseudogene	ENSG00000203416
FAM32CP	pseudogene	ENSG00000213525
FAM32DP	pseudogene	ENSG00000265472
FAM32EP	pseudogene	ENSG00000256125
FAM3A	protein-coding gene	ENSG00000071889
FAM3B	protein-coding gene	ENSG00000183844
FAM3C	protein-coding gene	ENSG00000196937
FAM3C2P	pseudogene	ENSG00000174028
FAM3D	protein-coding gene	ENSG00000198643
FAM3D-AS1	non-coding RNA	ENSG00000244383
FAM41AY1	non-coding RNA	ENSG00000224989
FAM41AY2	non-coding RNA	ENSG00000226362
FAM41C	non-coding RNA	ENSG00000230368
FAM43A	protein-coding gene	ENSG00000185112
FAM43B	protein-coding gene	ENSG00000183114
FAM47A	protein-coding gene	ENSG00000185448
FAM47B	protein-coding gene	ENSG00000189132
FAM47C	protein-coding gene	ENSG00000198173
FAM47DP	pseudogene	ENSG00000174678
FAM47E	protein-coding gene	ENSG00000189157
FAM47E-STBD1	other	ENSG00000272414
FAM50A	protein-coding gene	ENSG00000071859
FAM50B	protein-coding gene	ENSG00000145945
FAM53A	protein-coding gene	ENSG00000174137
FAM53B	protein-coding gene	ENSG00000189319
FAM53B-AS1	non-coding RNA	ENSG00000233334
FAM53C	protein-coding gene	ENSG00000120709
FAM66A	non-coding RNA	ENSG00000227888
FAM66B	non-coding RNA	ENSG00000215374
FAM66C	non-coding RNA	ENSG00000226711
FAM66D	non-coding RNA	ENSG00000255052
FAM66E	non-coding RNA	ENSG00000225725
FAM71A	protein-coding gene	ENSG00000162771
FAM71B	protein-coding gene	ENSG00000170613
FAM71BP1	pseudogene	ENSG00000270683
FAM71C	protein-coding gene	ENSG00000180219
FAM71D	protein-coding gene	ENSG00000172717
FAM71E1	protein-coding gene	ENSG00000142530
FAM71E2	protein-coding gene	ENSG00000180043
FAM71F1	protein-coding gene	ENSG00000135248
FAM71F2	protein-coding gene	ENSG00000205085
FAM72A	protein-coding gene	ENSG00000196550
FAM72B	protein-coding gene	ENSG00000188610
FAM72C	protein-coding gene	ENSG00000263513
FAM72D	protein-coding gene	ENSG00000215784
FAM74A1	non-coding RNA	ENSG00000215112
FAM74A3	non-coding RNA	ENSG00000274355
FAM74A4	non-coding RNA	ENSG00000274583
FAM74A6	non-coding RNA	ENSG00000274516
FAM74A7	non-coding RNA	ENSG00000277260
FAM76A	protein-coding gene	ENSG00000009780
FAM76B	protein-coding gene	ENSG00000077458
FAM78A	protein-coding gene	ENSG00000126882
FAM78B	protein-coding gene	ENSG00000188859
FAM78B-AS1	non-coding RNA	ENSG00000203307
FAM81A	protein-coding gene	ENSG00000157470
FAM81B	protein-coding gene	ENSG00000153347
FAM83A	protein-coding gene	ENSG00000147689
FAM83A-AS1	non-coding RNA	ENSG00000204949
FAM83B	protein-coding gene	ENSG00000168143
FAM83C	protein-coding gene	ENSG00000125998
FAM83C-AS1	non-coding RNA	ENSG00000235214
FAM83D	protein-coding gene	ENSG00000101447
FAM83E	protein-coding gene	ENSG00000105523
FAM83F	protein-coding gene	ENSG00000133477
FAM83G	protein-coding gene	ENSG00000188522
FAM83H	protein-coding gene	ENSG00000180921
FAM83H-AS1	non-coding RNA	
FAM85A	non-coding RNA	
FAM85B	non-coding RNA	ENSG00000253893
FAM86B1	protein-coding gene	ENSG00000186523
FAM86B2	protein-coding gene	ENSG00000145002
FAM86B3P	pseudogene	ENSG00000173295
FAM86C1P	pseudogene	ENSG00000158483
FAM86C2P	pseudogene	ENSG00000160172
FAM86DP	pseudogene	ENSG00000244026
FAM86EP	pseudogene	ENSG00000251669
FAM86FP	pseudogene	ENSG00000164845
FAM86GP	pseudogene	ENSG00000166492
FAM86HP	pseudogene	ENSG00000253540
FAM86JP	pseudogene	ENSG00000171084
FAM86KP	pseudogene	ENSG00000163612
FAM86LP	pseudogene	ENSG00000242731
FAM86MP	pseudogene	ENSG00000186234
FAM87A	non-coding RNA	ENSG00000182366
FAM87B	non-coding RNA	ENSG00000177757
FAM89A	protein-coding gene	ENSG00000182118
FAM89B	protein-coding gene	ENSG00000176973
FAM8A1	protein-coding gene	ENSG00000137414
FAM8A10P	pseudogene	
FAM8A2P	pseudogene	ENSG00000254722
FAM8A3P	pseudogene	ENSG00000224337
FAM8A4P	pseudogene	ENSG00000232730
FAM8A5P	pseudogene	ENSG00000238101
FAM8A6P	pseudogene	ENSG00000218772
FAM8A7P	pseudogene	
FAM8A9P	pseudogene	
FAM90A1	protein-coding gene	ENSG00000171847
FAM90A10P	pseudogene	ENSG00000285950
FAM90A11P	pseudogene	ENSG00000233115
FAM90A12P	pseudogene	ENSG00000254229
FAM90A13P	pseudogene	ENSG00000223885
FAM90A14P	pseudogene	ENSG00000285814
FAM90A15P	pseudogene	ENSG00000230045
FAM90A16P	pseudogene	ENSG00000285620
FAM90A17P	pseudogene	ENSG00000285720
FAM90A18P	pseudogene	ENSG00000285913
FAM90A19P	pseudogene	ENSG00000285657
FAM90A20P	pseudogene	ENSG00000233295
FAM90A21P	pseudogene	ENSG00000234749
FAM90A22P	pseudogene	ENSG00000285687
FAM90A23P	pseudogene	ENSG00000285765
FAM90A24P	pseudogene	ENSG00000215354
FAM90A25P	pseudogene	ENSG00000251402
FAM90A26	protein-coding gene	ENSG00000229924
FAM90A27P	pseudogene	ENSG00000189348
FAM90A28P	pseudogene	ENSG00000269118
FAM90A2P	pseudogene	ENSG00000205879
FAM90A3P	pseudogene	ENSG00000233132
FAM90A4P	pseudogene	ENSG00000249005
FAM90A5P	pseudogene	ENSG00000215373
FAM90A6P	pseudogene	ENSG00000248944
FAM90A7P	pseudogene	ENSG00000285975
FAM90A8P	pseudogene	ENSG00000285937
FAM90A9P	pseudogene	ENSG00000285607
FAM91A1	protein-coding gene	ENSG00000176853
FAM91A2P	pseudogene	ENSG00000284842
FAM91A3P	pseudogene	ENSG00000242352
FAM91A4P	pseudogene	
FAM95A	non-coding RNA	
FAM95B1	non-coding RNA	ENSG00000223839
FAM95C	non-coding RNA	ENSG00000283486
FAM96AP1	pseudogene	ENSG00000234048
FAM96AP2	pseudogene	ENSG00000224566
FAM98A	protein-coding gene	ENSG00000119812
FAM98B	protein-coding gene	ENSG00000171262
FAM98C	protein-coding gene	ENSG00000130244
FAM99A	non-coding RNA	ENSG00000205866
FAM99B	non-coding RNA	ENSG00000205865
FAM9A	protein-coding gene	ENSG00000183304
FAM9B	protein-coding gene	ENSG00000177138
FAM9C	protein-coding gene	ENSG00000187268
FAN1	protein-coding gene	ENSG00000198690
FANCA	protein-coding gene	ENSG00000187741
FANCB	protein-coding gene	ENSG00000181544
FANCC	protein-coding gene	ENSG00000158169
FANCD2	protein-coding gene	ENSG00000144554
FANCD2OS	protein-coding gene	ENSG00000163705
FANCD2P1	pseudogene	
FANCD2P2	pseudogene	ENSG00000230342
FANCE	protein-coding gene	ENSG00000112039
FANCF	protein-coding gene	ENSG00000183161
FANCG	protein-coding gene	ENSG00000221829
FANCI	protein-coding gene	ENSG00000140525
FANCL	protein-coding gene	ENSG00000115392
FANCM	protein-coding gene	ENSG00000187790
FANK1	protein-coding gene	ENSG00000203780
FANK1-AS1	non-coding RNA	ENSG00000233409
FAP	protein-coding gene	ENSG00000078098
FAR1	protein-coding gene	ENSG00000197601
FAR1-IT1	non-coding RNA	ENSG00000254791
FAR1P1	pseudogene	ENSG00000235879
FAR2	protein-coding gene	ENSG00000064763
FAR2P1	pseudogene	ENSG00000180178
FAR2P2	pseudogene	ENSG00000178162
FAR2P3	pseudogene	ENSG00000240253
FAR2P4	pseudogene	ENSG00000231431
FARP1	protein-coding gene	ENSG00000152767
FARP1-AS1	non-coding RNA	ENSG00000231194
FARP2	protein-coding gene	ENSG00000006607
FARS2	protein-coding gene	ENSG00000145982
FARSA	protein-coding gene	ENSG00000179115
FARSA-AS1	non-coding RNA	ENSG00000266975
FARSB	protein-coding gene	ENSG00000116120
FARSBP1	pseudogene	ENSG00000231060
FAS	protein-coding gene	ENSG00000026103
FAS-AS1	non-coding RNA	
FASLG	protein-coding gene	ENSG00000117560
FASN	protein-coding gene	ENSG00000169710
FASTK	protein-coding gene	ENSG00000164896
FASTKD1	protein-coding gene	ENSG00000138399
FASTKD2	protein-coding gene	ENSG00000118246
FASTKD3	protein-coding gene	ENSG00000124279
FASTKD5	protein-coding gene	ENSG00000215251
FAT1	protein-coding gene	ENSG00000083857
FAT1P1	pseudogene	ENSG00000217809
FAT2	protein-coding gene	ENSG00000086570
FAT3	protein-coding gene	ENSG00000165323
FAT4	protein-coding gene	ENSG00000196159
FATE1	protein-coding gene	ENSG00000147378
FAU	protein-coding gene	ENSG00000149806
FAUP1	pseudogene	ENSG00000235297
FAUP2	pseudogene	ENSG00000237806
FAUP3	pseudogene	
FAXC	protein-coding gene	ENSG00000146267
FAXDC2	protein-coding gene	ENSG00000170271
FBF1	protein-coding gene	ENSG00000188878
FBH1	protein-coding gene	ENSG00000134452
FBL	protein-coding gene	ENSG00000105202
FBLIM1	protein-coding gene	ENSG00000162458
FBLIM1P1	pseudogene	ENSG00000213489
FBLIM1P2	pseudogene	ENSG00000254871
FBLL1	protein-coding gene	ENSG00000188573
FBLN1	protein-coding gene	ENSG00000077942
FBLN2	protein-coding gene	ENSG00000163520
FBLN5	protein-coding gene	ENSG00000140092
FBLN7	protein-coding gene	ENSG00000144152
FBN1	protein-coding gene	ENSG00000166147
FBN2	protein-coding gene	ENSG00000138829
FBN3	protein-coding gene	ENSG00000142449
FBP1	protein-coding gene	ENSG00000165140
FBP2	protein-coding gene	ENSG00000130957
FBP2P1	pseudogene	ENSG00000237743
FBRS	protein-coding gene	ENSG00000156860
FBRSL1	protein-coding gene	ENSG00000112787
FBXL12	protein-coding gene	ENSG00000127452
FBXL12P1	pseudogene	ENSG00000235968
FBXL13	protein-coding gene	ENSG00000161040
FBXL14	protein-coding gene	ENSG00000171823
FBXL15	protein-coding gene	ENSG00000107872
FBXL16	protein-coding gene	ENSG00000127585
FBXL17	protein-coding gene	ENSG00000145743
FBXL18	protein-coding gene	ENSG00000155034
FBXL19	protein-coding gene	ENSG00000099364
FBXL19-AS1	non-coding RNA	ENSG00000260852
FBXL2	protein-coding gene	ENSG00000153558
FBXL20	protein-coding gene	ENSG00000108306
FBXL21P	pseudogene	ENSG00000164616
FBXL22	protein-coding gene	ENSG00000197361
FBXL3	protein-coding gene	ENSG00000005812
FBXL4	protein-coding gene	ENSG00000112234
FBXL5	protein-coding gene	ENSG00000118564
FBXL6	protein-coding gene	ENSG00000182325
FBXL7	protein-coding gene	ENSG00000183580
FBXL8	protein-coding gene	ENSG00000135722
FBXO10	protein-coding gene	ENSG00000147912
FBXO11	protein-coding gene	ENSG00000138081
FBXO15	protein-coding gene	ENSG00000141665
FBXO16	protein-coding gene	ENSG00000214050
FBXO17	protein-coding gene	ENSG00000269190
FBXO2	protein-coding gene	ENSG00000116661
FBXO21	protein-coding gene	ENSG00000135108
FBXO22	protein-coding gene	ENSG00000167196
FBXO24	protein-coding gene	ENSG00000106336
FBXO25	protein-coding gene	ENSG00000147364
FBXO27	protein-coding gene	ENSG00000161243
FBXO28	protein-coding gene	ENSG00000143756
FBXO3	protein-coding gene	ENSG00000110429
FBXO3-DT	non-coding RNA	ENSG00000254508
FBXO30	protein-coding gene	ENSG00000118496
FBXO30-DT	non-coding RNA	ENSG00000235652
FBXO31	protein-coding gene	ENSG00000103264
FBXO32	protein-coding gene	ENSG00000156804
FBXO33	protein-coding gene	ENSG00000165355
FBXO34	protein-coding gene	ENSG00000178974
FBXO36	protein-coding gene	ENSG00000153832
FBXO36-IT1	non-coding RNA	ENSG00000231534
FBXO36P1	pseudogene	ENSG00000266117
FBXO38	protein-coding gene	ENSG00000145868
FBXO39	protein-coding gene	ENSG00000177294
FBXO4	protein-coding gene	ENSG00000151876
FBXO40	protein-coding gene	ENSG00000163833
FBXO41	protein-coding gene	ENSG00000163013
FBXO42	protein-coding gene	ENSG00000037637
FBXO43	protein-coding gene	ENSG00000156509
FBXO44	protein-coding gene	ENSG00000132879
FBXO45	protein-coding gene	ENSG00000174013
FBXO46	protein-coding gene	ENSG00000177051
FBXO47	protein-coding gene	ENSG00000204952
FBXO48	protein-coding gene	ENSG00000204923
FBXO5	protein-coding gene	ENSG00000112029
FBXO6	protein-coding gene	ENSG00000116663
FBXO7	protein-coding gene	ENSG00000100225
FBXO8	protein-coding gene	ENSG00000164117
FBXO9	protein-coding gene	ENSG00000112146
FBXW10	protein-coding gene	ENSG00000171931
FBXW11	protein-coding gene	ENSG00000072803
FBXW11P1	pseudogene	ENSG00000230870
FBXW12	protein-coding gene	ENSG00000164049
FBXW2	protein-coding gene	ENSG00000119402
FBXW4	protein-coding gene	ENSG00000107829
