Gene name	Human gene name
Ctps2	CTPS2
Cbfb	CBFB
Sned1	SNED1
Cct6a	CCT6A
Sppl2a	SPPL2A
Adam32	ADAM32
Dlgap2	DLGAP2
Psap	PSAP
Adrb2	ADRB2
Pkd2l1	PKD2L1
Golga1	GOLGA1
Lsm1	LSM1
Cops3	COPS3
Stac3	STAC3
Baalc	BAALC
Npepps	NPEPPS
Maob	MAOB
Smim32	SMIM32
Rgs17	RGS17
Zfp276	ZNF276
Rab29	RAB29
Mrgprf	MRGPRF
Wwc1	WWC1
Phyhipl	PHYHIPL
Spink12	
	H2BC10
	LY96
Atpsckmt	ATPSCKMT
Gdpgp1	GDPGP1
Carns1	CARNS1
Acsbg2	ACSBG2
Dars	DARS1
Ly6h	LY6H
	ZNRF2
Poc1a	POC1A
Crtap	CRTAP
Ccnh	CCNH
Star	STAR
Tbr1	TBR1
Dpep3	DPEP3
Acy3	ACY3
Rgs7bp	RGS7BP
Acaca	ACACA
	SLC15A2
Dnajc11	DNAJC11
Gpt2	GPT2
	ECD
Six5	SIX5
Syt15	SYT15
Syt15	SYT15B
Or2p2	
Bivm	BIVM
	SLC9A6
Elmod2	ELMOD2
Bcas3	BCAS3
Gal	GAL
Mab21l1	MAB21L1
Srsf7	SRSF7
Capn5	CAPN5
Slco2a1	SLCO2A1
Klhl22	KLHL22
Nell1	NELL1
Reep5	REEP5
	CACNA1H
1700066M21Rik	C2orf69
Arfgap3	ARFGAP3
Zfp385b	ZNF385B
Fam89a	FAM89A
Skil	SKIL
Anxa8	ANXA8L1
Anxa8	ANXA8
Nprl2	NPRL2
Tlr9	TLR9
Gemin2	GEMIN2
Otof	OTOF
Aqp4	AQP4
Fn3krp	FN3KRP
	RIC3
Dgcr6	
Dgcr6	DGCR6L
Dgcr6	DGCR6
Slc22a23	SLC22A23
Asic3	ASIC3
Utp23	UTP23
Dph7	DPH7
Dgkh	DGKH
Actn3	ACTN3
Il34	IL34
Utp25	UTP25
Parg	PARG
Ncoa2	NCOA2
Tmem215	TMEM215
Lrriq4	LRRIQ4
Hcn3	HCN3
Snap29	SNAP29
Zfp473	ZNF473
Gpr171	GPR171
Slc2a9	SLC2A9
Ripply3	RIPPLY3
Kazald1	KAZALD1
Hnrnpm	HNRNPM
Il1b	IL1B
Tmem106c	TMEM106C
Hexdc	HEXD
	OR2W1
Adpgk	ADPGK
Rab4b	RAB4B
Ccl22	CCL22
Dcx	DCX
Wdr35	WDR35
Pnck	PNCK
Utp14a	UTP14C
Utp14a	UTP14A
Maged2	MAGED2
	RPP14
Pih1d1	PIH1D1
Zdbf2	ZDBF2
Tmem170b	TMEM170B
	CHST6
	CHST5
Fbf1	FBF1
	MAP1LC3B2
	MAP1LC3B
Ccn3	CCN3
Cmpk2	CMPK2
Ppcdc	PPCDC
Tdrd7	TDRD7
Krt72	KRT72
Syde2	SYDE2
Adamts17	ADAMTS17
Tbx21	TBX21
Tbc1d13	TBC1D13
Rbm14	RBM14
Fbxo28	FBXO28
Lpl	LPL
Syt6	SYT6
Trmt9b	TRMT9B
	KRT18
Ccdc59	CCDC59
Trim28	TRIM28
Optn	OPTN
Tamm41	TAMM41
Mtmr11	MTMR11
Taar2	TAAR2
Flcn	FLCN
Cenpf	CENPF
Uba3	UBA3
Srms	SRMS
C1ql4	C1QL4
Lrfn3	LRFN3
Atp1b1	ATP1B1
Il6	IL6
Atcay	ATCAY
Isoc1	ISOC1
Eogt	EOGT
Nuak2	NUAK2
	H2AC6
Pop1	POP1
Crb2	CRB2
Pigq	PIGQ
Lsr	LSR
Dtx3l	DTX3L
Arf4	ARF4
Sil1	SIL1
Abcc2	ABCC2
Aldh3b2	ALDH3B2
Tead2	TEAD2
	FBXW12
Atg4c	ATG4C
Opn1mw	OPN1MW2
Opn1mw	OPN1LW
Opn1mw	OPN1MW3
Opn1mw	OPN1MW
Ark2c	ARK2C
	B4GALNT1
Srp9	SRP9
	H2BC12
	CISD3
Glrb	GLRB
Rac1	RAC1
Rxfp2	RXFP2
Ndufb3	NDUFB3
Slc26a8	SLC26A8
Cdr2l	CDR2L
C1s	C1S
Sult1d1	
Ipo4	IPO4
Rbm26	RBM26
Enpp5	ENPP5
Sec14l2	SEC14L2
Pdik1l	PDIK1L
Tmed10	TMED10
Gys2	GYS2
Arhgap12	ARHGAP12
Pcif1	PCIF1
Pitpnb	PITPNB
Or2w6	
Traf3ip1	TRAF3IP1
Cap2	CAP2
Cenatac	CENATAC
Dcaf13	DCAF13
Adgrb1	ADGRB1
Thap3	THAP3
Prss58	PRSS58
Sec24b	SEC24B
Cct8	CCT8
Rftn1	RFTN1
Slc7a4	SLC7A4
	FAM167A
	SYTL2
Snph	SNPH
Recql5	RECQL5
Pygb	PYGB
Fbp2	FBP2
Ndufaf5	NDUFAF5
Pcdhga3	PCDHGA3
Cdk15	CDK15
Slc25a3	SLC25A3
Mmrn2	MMRN2
Zfp661	ZNF2
Sbk2	SBK2
Clcnka	CLCNKB
Clcnka	CLCNKA
Atg12	ATG12
Vstm4	VSTM4
Slc17a5	SLC17A5
P2ry1	P2RY1
Iqsec2	IQSEC2
Gne	GNE
Tmem134	TMEM134
Srrm3	SRRM3
Vangl2	VANGL2
Drp2	DRP2
	PHF13
Lpin1	LPIN1
Slf2	SLF2
Rnf139	RNF139
Fgf3	FGF3
	H2BC7
Ndufaf4	NDUFAF4
Mgarp	MGARP
C8g	C8G
Fgl2	FGL2
Nptx2	NPTX2
Sptlc3	SPTLC3
Cacna1c	CACNA1C
Gckr	GCKR
Ccnd1	CCND1
Tnmd	TNMD
Slc35g2	SLC35G2
	PRIMPOL
Nipbl	NIPBL
Lcp2	LCP2
Pex14	PEX14
	DACT3
Sgk3	SGK3
Glt6d1	GLT6D1
Tspan13	TSPAN13
Sdad1	SDAD1
	NSRP1
Rrp1	RRP1
	PNMA6F
	PNMA6E
Polr2b	POLR2B
Fadd	FADD
Adi1	ADI1
Pgk2	PGK2
Gpr132	
Ythdf1	YTHDF1
	CCNB1IP1
	COX5B
Slurp1	SLURP1
Efr3a	EFR3A
	DMRTB1
Abcf3	ABCF3
Grm6	GRM6
Dusp19	DUSP19
Hjurp	HJURP
Plppr3	PLPPR3
	TBX3
Cd101	CD101
Mkks	MKKS
	ADAM20
Hsd17b2	HSD17B2
Inpp5e	INPP5E
Arhgef33	ARHGEF33
Spryd7	SPRYD7
Dnttip2	DNTTIP2
Lyve1	LYVE1
Lrrc72	
Atp5mc3	ATP5MC3
Arhgef7	ARHGEF7
Ftmt	FTMT
Prmt2	PRMT2
	GNAL
Gpr153	GPR153
Tlr7	TLR7
Trim47	TRIM47
Xkrx	XKRX
Vsx2	VSX2
	FKBP1C
Arid1b	ARID1B
Lrrc61	LRRC61
Spring1	SPRING1
Nfe2l2	NFE2L2
Ptges2	PTGES2
Mtrf1l	MTRF1L
	COPG1
Ormdl3	ORMDL3
Pycr2	PYCR2
Hook1	HOOK1
Plvap	PLVAP
Kcnh5	KCNH5
	ODAD1
	PPP6R1
Pacs1	PACS1
	MYO15B
Spink6	SPINK6
Pcdhga1	PCDHGA1
Tap1	TAP1
Hoxb9	HOXB9
Dym	DYM
Ubxn7	UBXN7
Topaz1	TOPAZ1
E230025N22Rik	
Slitrk4	SLITRK4
Tgfa	TGFA
Tent5c	TENT5C
Fcrl2	
Rab34	RAB34
Sptbn4	SPTBN4
Ticrr	TICRR
Insrr	INSRR
Sec11a	SEC11A
	TSC22D4
Tgfbr3	TGFBR3
Pnpla5	PNPLA5
Reps2	REPS2
Pfkl	PFKL
Usp6nl	USP6NL
Hdlbp	HDLBP
Git1	GIT1
Dpy30	DPY30
Oxsr1	OXSR1
	NEBL
Cetn1	CETN1
Nckap1	NCKAP1
D5Ertd579e	KIAA0232
	RBM25
Phlda3	PHLDA3
Epha1	EPHA1
Psmg4	PSMG4
Mrpl14	MRPL14
Emsy	EMSY
Doc2g	
Unc119	UNC119
Cdk13	CDK13
Frs2	FRS2
Cpeb1	CPEB1
Glb1	GLB1
Dbf4	DBF4
Eln	ELN
Rdh10	RDH10
Pcdh8	PCDH8
Fam117b	FAM117B
Cryz	CRYZ
Btbd18	BTBD18
Ikzf2	IKZF2
Phf20	PHF20
Rap2b	RAP2B
Cyp2s1	CYP2S1
Tex55	TEX55
Cckbr	CCKBR
Pth2	PTH2
Prr29	PRR29
Zfp248	ZNF248
Rps6ka1	RPS6KA1
Frmd8	FRMD8
Casd1	CASD1
Npy6r	
	PPM1A
Rab2a	RAB2A
	LRRC32
Itgb4	ITGB4
Ift25	IFT25
	POLG
	TIMM8A
Kdm1b	KDM1B
Zc3h12b	ZC3H12B
Lhfpl4	LHFPL4
Lyzl6	LYZL6
Slc2a1	SLC2A1
Sybu	SYBU
Farsb	FARSB
	ZGRF1
Kif21a	KIF21A
Aldh3b1	ALDH3B1
Commd3	COMMD3
Cldn5	CLDN5
Exosc8	EXOSC8
Zfp58	ZNF429
Zfp58	ZNF195
1700067K01Rik	C19orf67
Uvssa	UVSSA
Ccnb2	CCNB2
Pkhd1	PKHD1
Pyroxd2	PYROXD2
	ATP5MC2
Prdm13	PRDM13
Far2	FAR2
Akr1c14	
Fam83g	FAM83G
Washc5	WASHC5
Phf8	PHF8
Cda	CDA
Cdk2ap2	CDK2AP2
Slc25a15	SLC25A15
Enah	ENAH
Wnt8b	WNT8B
Arl4d	ARL4D
2010003K11Rik	C11orf86
Bmper	BMPER
Tusc3	TUSC3
F8	F8
Srsf12	SRSF12
Arhgef18	ARHGEF18
Gad2	GAD2
Shld2	SHLD2
	REST
Kcnu1	KCNU1
Got1	GOT1
Sms	SMS
Gstp1	GSTP1
Sdk1	SDK1
Klc3	KLC3
Slc20a1	SLC20A1
Cox7a1	COX7A1
Slc30a9	SLC30A9
Onecut1	ONECUT1
Tyk2	TYK2
Zfp964	ZNF700
Zfp964	ZNF563
Zfp964	ZNF44
Zfp964	ZNF442
Zfp964	ZNF433
Zfp964	ZNF441
Zfp964	ZNF823
Zfp964	ZNF799
Zfp964	ZNF443
Zdhhc1	ZDHHC1
Mtx2	MTX2
Ntsr1	NTSR1
Spg7	SPG7
P3h4	P3H4
Tyrp1	TYRP1
Kcns3	KCNS3
Ipmk	IPMK
	NAALADL2
Chmp7	CHMP7
Sorcs2	SORCS2
Ndufs8	NDUFS8
Bmp2k	BMP2K
Irgq	IRGQ
Cavin4	CAVIN4
Dpcd	DPCD
Gpr151	GPR151
Pgap4	PGAP4
Rev3l	REV3L
Ndufb5	NDUFB5
Kcna7	KCNA7
Spata22	SPATA22
Triml2	TRIML2
Shfl	SHFL
Hmbox1	HMBOX1
Dhrs1	DHRS1
Pcgf6	PCGF6
Kdelr1	KDELR1
Cabp4	CABP4
	NEFM
Tubb4a	TUBB4A
	CORO1C
Bcar3	BCAR3
Nek7	NEK7
	TMEM41A
Fam221b	FAM221B
Crybg1	CRYBG1
Mboat1	MBOAT1
Nfkb1	NFKB1
Cspg4	CSPG4
Obi1	OBI1
Yipf5	YIPF5
Ccdc142	CCDC142
	MAP3K7CL
Tfap2b	TFAP2B
Necap2	NECAP2
Chrna1	CHRNA1
Tesmin	TESMIN
Jph1	JPH1
Fbxo39	FBXO39
Ift20	IFT20
	TMEM178B
Zfpm1	ZFPM1
Sh3glb2	SH3GLB2
Gnaz	GNAZ
Dlx6	DLX6
	H2AC8
	H2AC4
Utp3	UTP3
Ermn	ERMN
Amh	AMH
	CREG2
Tchhl1	TCHHL1
Nupr1l	NUPR2
Usp16	USP16
Gpr83	GPR83
Strip1	STRIP1
Ctxnd1	CTXND1
Camta1	CAMTA1
Raver1	RAVER1
	CFL1
Peak1	PEAK1
Maoa	MAOA
Rs1	RS1
	C19orf38
Dhcr7	DHCR7
	SLCO2B1
Or2t1	OR2T1
Cbr4	CBR4
Micu3	MICU3
	HERC3
Ahrr	AHRR
Sec16a	SEC16A
Asxl2	ASXL2
Zfp651	ZBTB47
2310022B05Rik	C1orf198
	CLEC11A
Pcdhb1	PCDHB1
Cnot7	CNOT7
Sfxn3	SFXN3
Cxcl13	CXCL13
	AFG3L2
Cdkn1c	CDKN1C
Urb2	URB2
Slc35a4	SLC35A4
Dynll2	DYNLL2
Rnf31	RNF31
	ZNF689
Edn3	EDN3
Flrt2	FLRT2
Nom1	NOM1
Fam124b	FAM124B
Ranbp17	RANBP17
Pabpc2	PABPC3
Pabpc2	PABPC1
Cnksr3	CNKSR3
Mroh6	MROH6
Map3k5	MAP3K5
Zfp740	ZNF740
4933411K16Rik	C10orf62
	RNF208
Itgb1bp1	ITGB1BP1
Lmbrd1	LMBRD1
Ahr	AHR
Tgm3	TGM3
Lrp5	LRP5
Napb	NAPB
Strc	STRC
Tox4	TOX4
	TMEM202
Dnajc22	DNAJC22
Zfp90	ZFP90
Sytl1	SYTL1
Lactb2	LACTB2
Pjvk	PJVK
Or2t6	OR2T6
Ces4a	CES4A
	DCUN1D1
Prpf4	PRPF4
Tnnc1	TNNC1
Prl5a1	PRL
Tmem50a	TMEM50A
Krt76	KRT76
Tlcd3a	TLCD3A
	PRPF38A
Cep97	CEP97
	OTOG
Siglecg	SIGLEC11
Siglecg	SIGLEC16
Siglecg	SIGLEC10
Ppp1r15a	PPP1R15A
Nfkbil1	NFKBIL1
Manba	MANBA
Sash3	SASH3
Septin6	SEPTIN6
Kcna10	KCNA10
Mtg2	MTG2
Lzts2	LZTS2
Tent4b	TENT4B
Sema6a	SEMA6A
Vps41	VPS41
Sec14l5	SEC14L5
Trpm5	TRPM5
Padi6	PADI6
Timp4	TIMP4
Clasp2	CLASP2
Igfbp6	IGFBP6
Myo16	MYO16
Trmt11	TRMT11
	TUBB2B
Asic5	ASIC5
Kif13a	KIF13A
Tardbp	TARDBP
Eif3i	EIF3I
4930402F06Rik	
Rprm	RPRM
Lrrc14	LRRC14
Mrps14	MRPS14
Birc2	BIRC2
Naxe	NAXE
	COG2
Or2t35	OR2T2
Or2t35	OR2T35
Entpd7	ENTPD7
Smim3	SMIM3
Phf20l1	PHF20L1
Agl	AGL
Trappc2l	TRAPPC2L
Adam33	ADAM33
Ntn3	NTN3
Krt73	KRT73
Or6k8-ps1	
Flacc1	FLACC1
C7	C7
Ralgapb	RALGAPB
Faim	FAIM
	NT5C2
Slc25a42	SLC25A42
Taok3	TAOK3
Pycrl	PYCR3
Mdh1	MDH1
Ccdc136	CCDC136
Nexn	NEXN
Nrgn	NRGN
Poldip2	POLDIP2
Gm572	C1orf127
Hoxd8	HOXD8
Mis18a	MIS18A
Pcdha5	PCDHA5
Slc4a9	SLC4A9
Slc7a2	SLC7A2
Fgfr1	FGFR1
Kcnk15	KCNK15
Myt1	MYT1
P4ha3	P4HA3
Nedd9	NEDD9
Tpcn2	TPCN2
Nfix	NFIX
Cask	CASK
Mcam	MCAM
Cisd2	CISD2
Tssk1	TSSK1B
Klhl8	KLHL8
Apoa1	APOA1
Tusc2	TUSC2
Sdc2	SDC2
Tmem8b	TMEM8B
Tbc1d30	TBC1D30
Slc39a1	SLC39A1
Mlkl	MLKL
Fxyd2	FXYD2
Il2rb	IL2RB
	DAP3
Masp2	MASP2
Gtpbp3	GTPBP3
Ankrd66	ANKRD66
Tssk2	TSSK2
	SPAG9
Sfxn1	SFXN1
Fgfrl1	FGFRL1
	TAF15
Spp1	SPP1
Fblim1	FBLIM1
	NEK1
Mrps10	MRPS10
H1f1	H1-1
4930522H14Rik	C1orf185
Asb2	ASB2
Ints15	INTS15
Chfr	CHFR
	TP53RK
2900092C05Rik	C19orf18
Sdr16c6	
	LUC7L
H2-Eb2	HLA-DRB1
H2-Eb2	HLA-DRB5
Fbxl21	
Noc4l	NOC4L
Tmem94	TMEM94
Pgap1	PGAP1
Gon7	GON7
	TAAR9
Prm2	PRM2
Srf	SRF
Ctbp1	CTBP1
Cdk16	CDK16
Slc18a1	SLC18A1
Mypop	MYPOP
Cpt1a	CPT1A
Cideb	CIDEB
Fra10ac1	FRA10AC1
Smim9	SMIM9
Cym	
Myo10	MYO10
	RFX5
Tlnrd1	TLNRD1
	KRTAP13-3
Ccl8	CCL8
Ufm1	UFM1
Vsig10l	VSIG10L
Sirt7	SIRT7
Coro2a	CORO2A
Gzma	GZMA
Or6k6	OR6K6
Otx2	OTX2
Dnajb2	DNAJB2
Myl1	MYL1
Gsdme	GSDME
Pigo	PIGO
	MEI1
Traf1	TRAF1
Mideas	MIDEAS
Mecp2	MECP2
Chrdl1	CHRDL1
Lrrc25	LRRC25
Clcn6	CLCN6
Prl4a1	PRL
H2bc3	H2BC3
Hey1	HEY1
Plk3	PLK3
Cd81	CD81
Marf1	MARF1
Alg6	ALG6
Hunk	HUNK
Trip13	TRIP13
Pcgf3	PCGF3
Xiap	XIAP
Creb1	CREB1
Thnsl1	THNSL1
Scn8a	SCN8A
Ccdc78	CCDC78
Acte1	
Got2	GOT2
Kctd21	KCTD21
	TGIF1
Dusp4	DUSP4
Gpn1	GPN1
Cenph	CENPH
Dpep1	DPEP1
Mllt11	MLLT11
Nck2	NCK2
Crip3	CRIP3
H1f2	H1-2
Maf1	MAF1
Tbca	TBCA
Faf2	FAF2
Fads6	FADS6
Bak1	BAK1
Ldlr	LDLR
Ttc39d	
Drg1	DRG1
Bbs10	BBS10
Hepacam	HEPACAM
Bsph2	
Mrpl21	MRPL21
Pcdhga7	PCDHGA7
Ccna2	CCNA2
Anapc1	ANAPC1
Tcam1	
Cfc1	CFC1
Cfc1	CFC1B
	AMD1
Zfp574	ZNF574
Wbp4	WBP4
Atp10a	ATP10A
	MUC17
Phlpp2	PHLPP2
Gcat	GCAT
Gm26897	
Slc9a8	SLC9A8
Gm17949	
	H3C13
Mmp28	MMP28
Zfp712	ZNF845
Mis18bp1	MIS18BP1
Gucd1	GUCD1
Ildr2	ILDR2
4933430I17Rik	C9orf43
Tex35	TEX35
Or6n2	OR6N2
Deptor	DEPTOR
Atp13a2	ATP13A2
Med1	MED1
Nemp2	NEMP2
Rpp21	RPP21
H1f6	H1-6
Matcap2	MATCAP2
Nepn	
Gpr19	GPR19
Abhd17a	ABHD17A
Unc93b1	UNC93B1
P4hb	P4HB
Wnt3	WNT3
Arhgef39	ARHGEF39
	H4C8
	ATXN7L2
	METAP1
Nt5dc1	NT5DC1
Or6k2	OR6K2
Grik3	GRIK3
C9	C9
Il18r1	IL18R1
Ankrd2	ANKRD2
Ascc3	ASCC3
Eif3h	EIF3H
Lyg2	LYG2
Tm9sf5	
Tatdn3	TATDN3
	CD300LF
Stpg4	STPG4
En2	EN2
Clint1	CLINT1
Adad1	ADAD1
Dph1	DPH1
Hhipl1	HHIPL1
Ubl4b	UBL4B
Hoxd3	HOXD3
Lgmn	LGMN
Ppat	PPAT
Lix1l	LIX1L
	MTUS2
Plagl2	PLAGL2
Cox8c	
Or7a37	
Tspyl1	TSPYL1
Sema4d	SEMA4D
Anxa2	ANXA2
	AMFR
Cdc42ep5	CDC42EP5
Uaca	UACA
CK137956	C1orf94
Ercc4	ERCC4
Lypd2	LYPD2
	CDKN2AIPNL
Tmem225	TMEM225
Eif4b	EIF4B
H1f4	H1-4
Fam163a	FAM163A
Gbp2b	GBP2
Arhgef15	ARHGEF15
	PIAS3
Cdkn1b	CDKN1B
Adora1	ADORA1
	OGG1
	H3C12
Fam3b	FAM3B
Gpr87	GPR87
Zfp462	ZNF462
Lsp1	LSP1
	HEMGN
Slc6a15	SLC6A15
Adamtsl1	ADAMTSL1
Naxd	NAXD
Spryd4	SPRYD4
Ifrd2	IFRD2
Rnf207	RNF207
Atf2	ATF2
Crybb3	CRYBB3
Rap1gap2	RAP1GAP2
Ticam1	TICAM1
Bub3	BUB3
Moxd1	MOXD1
Stim2	STIM2
Dnaaf11	DNAAF11
	INS
Cfap410	CFAP410
Snx2	SNX2
Nfic	NFIC
Rpap3	RPAP3
Mamdc4	MAMDC4
	CRCP
Tbx19	TBX19
Dcdc2b	DCDC2B
H1f3	H1-3
Prss16	PRSS16
Ciao3	CIAO3
	CAPZA1
Paf1	PAF1
Nt5c1b	NT5C1B
Slc17a6	SLC17A6
Garin2	GARIN2
Atp6v1c1	ATP6V1C1
Cabin1	CABIN1
Hoxd1	HOXD1
Fbxo2	FBXO2
	GPS2
Adgre5	ADGRE5
Nudt15	NUDT15
Trpm4	TRPM4
Dgka	DGKA
Fam53a	FAM53A
Zfp518b	ZNF518B
Baiap2l2	BAIAP2L2
Trhr2	
	B3GALT1
Man1c1	MAN1C1
Dyrk1a	DYRK1A
Hoxd12	HOXD12
Skida1	SKIDA1
Sp1	SP1
Atp5mf	ATP5MF
	PSMD13
Galnt4	GALNT4
Hsp90ab1	HSP90AB1
	USP40
Sesn1	SESN1
Pfkfb1	PFKFB1
	ATP10D
Cox7a2l	COX7A2L
Defb33	
Paip2b	PAIP2B
Cryab	CRYAB
Pah	PAH
Pes1	PES1
Rapgefl1	RAPGEFL1
Megf6	MEGF6
Mapre2	MAPRE2
Rpsa	
C1qtnf12	C1QTNF12
Ttc28	TTC28
Ppp1r3a	PPP1R3A
	MYH1
Ucn	UCN
Lpin3	LPIN3
Ggh	GGH
Spaca3	SPACA3
Ttc32	TTC32
3110040N11Rik	C15orf40
Capn12	CAPN12
	MFHAS1
Gpatch11	GPATCH11
	CLVS1
Grk2	GRK2
Blk	BLK
Chn1	CHN1
Mtfr1	MTFR1
Flywch2	FLYWCH2
Defb13	DEFB107A
Defb13	DEFB107B
Cdo1	CDO1
Foxc1	FOXC1
	GNG5B
	GNG5
Runx1t1	RUNX1T1
Fbxo21	FBXO21
Kdm3b	KDM3B
Atp6v1b2	ATP6V1B2
Zpld2	
Vamp8	VAMP8
Sntg1	SNTG1
	ACVR1
Sik1	SIK1
Col6a3	COL6A3
Casp8	CASP8
Grem2	GREM2
Ccdc25	CCDC25
Ndst2	NDST2
Trak1	TRAK1
Serf2	
	PALLD
Phactr4	PHACTR4
Hnrnpa0	HNRNPA0
Larp6	LARP6
	OR8B8
Wnk2	WNK2
Shank3	SHANK3
Cbx8	CBX8
Hcfc1	HCFC1
Fbxl8	FBXL8
Tnfrsf13b	TNFRSF13B
Zfp655	ZNF655
Card11	CARD11
Caml	CAMLG
Ccdc152	CCDC152
Smim14	SMIM14
	HEXIM1
Pnma8a	PNMA8A
Ccl28	CCL28
Casp8ap2	CASP8AP2
Fut9	FUT9
	ARMC8
Ldb1	LDB1
Adssl1	ADSS1
Cisd1	CISD1
Foxq1	FOXQ1
Awat1	AWAT1
Zfp282	ZNF282
	CALR
Riiad1	RIIAD1
Atp6v1g3	ATP6V1G3
Lrrc49	LRRC49
Dennd4a	DENND4A
Impact	IMPACT
Gnl2	GNL2
Kremen1	KREMEN1
Fgf16	FGF16
Il1a	IL1A
Ogfr	OGFR
Zbtb43	ZBTB43
Fgf15	FGF19
Reln	RELN
Hoxd9	HOXD9
Kcnj12	KCNJ18
Kcnj12	KCNJ12
Tubb2a	TUBB2A
Prdm8	PRDM8
Shb	SHB
	FGF4
Ppbp	PPBP
Hoxd4	HOXD4
Ss18l2	SS18L2
Il13ra1	IL13RA1
Rras2	RRAS2
Pnpla8	PNPLA8
Rab11a	RAB11A
Zbtb49	ZBTB49
Slc9a7	SLC9A7
Trim68	TRIM68
Tek	TEK
	BEST4
Zmynd15	ZMYND15
Spata31	SPATA31A3
Spata31	SPATA31C1
Spata31	SPATA31A1
Spata31	SPATA31A5
Spata31	SPATA31C2
Spata31	SPATA31A7
Spata31	SPATA31A6
Rdm1	RDM1
Ddost	DDOST
Enpp1	ENPP1
Tor2a	TOR2A
Izumo1r	IZUMO1R
Dnai2	DNAI2
Ntpcr	NTPCR
Frmd5	FRMD5
C1qtnf3	C1QTNF3
Syne3	SYNE3
Tmem30c	
Clec4e	CLEC4E
Prkg2	PRKG2
Col6a5	COL6A5
Sav1	SAV1
Pts	PTS
Mmp14	MMP14
Nrde2	NRDE2
Osbpl5	OSBPL5
Zpld1	ZPLD1
	AMOTL2
Tac2	TAC3
Zfp521	ZNF521
Ppp1r1a	PPP1R1A
Coa4	COA4
Polr2f	POLR2F
Rfx2	RFX2
Decr1	DECR1
Apoa4	APOA4
Slc13a4	SLC13A4
Kif15	KIF15
Lrrc57	LRRC57
Pde6b	PDE6B
Rab5if	RAB5IF
Tmem235	TMEM235
Arhgap10	ARHGAP10
Trim26	TRIM26
Myl12a	MYL12A
Trem2	TREM2
P3r3urf	P3R3URF
Borcs5	BORCS5
Tbkbp1	TBKBP1
Cpt2	CPT2
Prrx1	PRRX1
Hsf2bp	HSF2BP
B3gnt3	B3GNT3
Osbpl6	OSBPL6
Sod1	SOD1
Fam3c	FAM3C
Tor1aip1	TOR1AIP1
Skic2	SKIC2
Phyhd1	PHYHD1
Rnf166	RNF166
Taf7l	TAF7L
Tcea3	TCEA3
Msr1	MSR1
Cfap99	CFAP99
S100g	S100G
Zfp449	ZNF449
Rgs16	RGS16
Col1a2	COL1A2
	PMS1
Slc35f6	SLC35F6
Atp6v1b1	ATP6V1B1
Rgs4	RGS4
Dusp18	DUSP18
Wdr90	WDR90
Rapgef3	RAPGEF3
Nadsyn1	NADSYN1
Gemin4	GEMIN4
Colec10	COLEC10
Slco1b2	SLCO1B3
Slco1b2	SLCO1B1
Txnrd1	TXNRD1
Phf19	PHF19
Zdhhc14	ZDHHC14
Dtx2	DTX2
Plekho2	PLEKHO2
Pask	PASK
Cytip	CYTIP
Dip2a	DIP2A
Bcl6b	BCL6B
Zfp410	ZNF410
Dsg2	DSG2
Kifc2	KIFC2
Abcg2	
Peg10	PEG10
Rrm2b	RRM2B
Zfp84	
Nup43	NUP43
Smg8	SMG8
Col6a4	
Taf1	TAF1
Taf1	TAF1L
Nnmt	NNMT
Prr7	PRR7
Fam83h	FAM83H
Gimap1	GIMAP1
	DUSP13B
Acaa2	ACAA2
Ankrd17	ANKRD17
Wfdc21	
Mnat1	MNAT1
Sypl2	SYPL2
Tmem39a	TMEM39A
Pou2f1	POU2F1
Slc25a32	SLC25A32
Hs3st6	HS3ST6
Trim67	TRIM67
Thpo	THPO
Adgb	ADGB
LTO1	LTO1
Rhof	RHOF
Pde1a	PDE1A
Chl1	CHL1
Cep83	CEP83
Tinag	TINAG
Rpl36	RPL36
Zyg11b	ZYG11B
Mrpl23	
Mrpl23	MRPL23
Rad23b	RAD23B
Iars	IARS1
Zfp618	ZNF618
Pde4b	PDE4B
Tbc1d19	TBC1D19
Itk	ITK
Galnt16	GALNT16
Spats2	SPATS2
Cpd	CPD
Acadl	ACADL
Csgalnact2	CSGALNACT2
Gss	GSS
	KRTAP4-11
	KRTAP4-9
	KRTAP4-16
	KRTAP4-8
	KRTAP4-4
	KRTAP4-2
	KRTAP4-1
	KRTAP2-2
	KRTAP2-4
	KRTAP2-3
	KRTAP2-1
P2ry6	P2RY6
Tet3	TET3
Tubgcp5	TUBGCP5
Top2b	TOP2B
Ralgds	RALGDS
Cdc7	CDC7
Mib2	MIB2
2310030G06Rik	C11orf52
Agt	AGT
Ttc5	TTC5
Rora	RORA
Garnl3	GARNL3
Stil	STIL
Th	TH
Sdhd	SDHD
Prr13	
Gm28729	
Dpp9	DPP9
Csrp2	CSRP2
Gfi1b	GFI1B
Acvr2a	ACVR2A
Gnas	GNAS
Vash1	VASH1
Tssc4	TSSC4
Art5	ART5
Gpr68	GPR68
Cript	CRIPT
Galnt2	GALNT2
Pacsin2	PACSIN2
Cnnm1	CNNM1
Mynn	MYNN
Gmcl1	GMCL1
Gmcl1	GMCL2
Lefty2	LEFTY2
Lefty2	LEFTY1
	MAPRE1
Neil2	NEIL2
Gtsf1	GTSF1
Elmo3	ELMO3
Ifitm10	IFITM10
Mrm2	MRM2
Sox7	SOX7
Bst2	BST2
Scd1	
Slc39a14	SLC39A14
BC048562	C3orf84
Igsf5	
Bmp5	BMP5
